Gender,Age,AffluenceGrade,LoyaltyCardTenure,OrganicsPurchaseCount,OrganicsPurchaseIndicator,TotalSpend
F,66.0,5.0,4.0,0,0,2000.0
M,25.0,6.0,5.0,0,0,6000.0
F,36.0,17.0,4.0,3,1,1900.0
F,57.0,13.0,7.0,0,0,920.0
F,67.0,6.0,25.0,0,0,6053.35
M,43.0,8.0,12.0,0,0,3223.98
F,76.0,7.0,3.0,0,0,20496.41
F,70.0,9.0,3.0,0,0,1000.0
M,59.0,4.0,8.0,0,0,35.0
M,42.0,7.0,5.0,1,1,1200.0
F,32.0,6.0,5.0,1,1,6000.0
F,63.0,7.0,2.0,0,0,2100.0
F,67.0,6.0,2.0,0,0,6000.0
M,45.0,5.0,9.0,0,0,3000.0
F,53.0,10.0,4.0,0,0,6053.34
M,55.0,4.0,3.0,0,0,34000.0
F,38.0,9.0,10.0,1,1,2000.0
M,37.0,11.0,4.0,1,1,1000.0
F,46.0,11.0,6.0,0,0,3000.0
F,62.0,10.0,3.0,0,0,6000.0
F,51.0,8.0,5.0,0,0,100.01
F,59.0,6.0,2.0,0,0,6000.0
M,44.0,7.0,6.0,0,0,3000.0
F,69.0,6.0,11.0,0,0,50.01
F,66.0,12.0,9.0,0,0,600.0
M,71.0,8.0,9.0,0,0,3000.0
F,33.0,3.0,4.0,0,0,15600.0
M,42.0,7.0,2.0,0,0,3000.0
F,70.0,14.0,7.0,1,1,6105.32
F,72.0,5.0,15.0,0,0,6000.0
F,35.0,21.0,7.0,3,1,6000.0
F,65.0,7.0,3.0,0,0,20472.84
M,39.0,8.0,10.0,0,0,2500.0
M,77.0,7.0,2.0,0,0,6000.0
F,66.0,11.0,9.0,1,1,500.0
F,47.0,4.0,9.0,0,0,2000.0
M,57.0,6.0,6.0,0,0,6000.0
M,32.0,9.0,3.0,0,0,2500.0
M,63.0,5.0,2.0,0,0,5000.0
F,77.0,9.0,6.0,0,0,4694.74
M,49.0,7.0,2.0,0,0,6000.0
F,57.0,5.0,9.0,0,0,500.0
F,64.0,4.0,9.0,0,0,2000.0
F,66.0,6.0,2.0,0,0,6000.0
F,60.0,9.0,2.0,0,0,3000.0
F,64.0,10.0,10.0,0,0,1000.0
F,78.0,11.0,3.0,1,1,6000.0
F,54.0,9.0,8.0,0,0,2000.0
F,43.0,19.0,7.0,1,1,3000.0
M,67.0,8.0,2.0,0,0,6000.0
M,67.0,6.0,9.0,0,0,420.01
F,35.0,11.0,15.0,1,1,4166.26
F,71.0,17.0,5.0,1,1,1200.0
M,75.0,7.0,7.0,0,0,12053.35
M,76.0,6.0,12.0,0,0,29035.46
F,39.0,10.0,6.0,0,0,2000.0
F,49.0,9.0,3.0,0,0,20744.9
F,48.0,9.0,12.0,0,0,1200.0
F,54.0,9.0,9.0,0,0,5000.0
F,68.0,6.0,8.0,0,0,2000.0
M,48.0,8.0,4.0,0,0,6000.0
F,71.0,10.0,16.0,0,0,24000.0
F,36.0,12.0,5.0,1,1,1420.0
M,69.0,12.0,4.0,0,0,18000.0
M,58.0,16.0,5.0,0,0,4956.42
F,67.0,6.0,5.0,0,0,2500.0
F,43.0,7.0,7.0,0,0,840.0
F,66.0,7.0,7.0,0,0,12158.67
F,32.0,8.0,2.0,1,1,30.0
F,71.0,9.0,9.0,0,0,40000.0
F,63.0,11.0,6.0,1,1,6000.0
M,42.0,11.0,5.0,0,0,3000.0
F,43.0,12.0,5.0,1,1,3500.0
M,78.0,4.0,13.0,0,0,6000.0
F,44.0,9.0,5.0,0,0,3197.91
F,60.0,6.0,8.0,0,0,12000.0
F,73.0,8.0,9.0,0,0,1000.0
F,70.0,9.0,9.0,0,0,50.0
M,48.0,13.0,9.0,2,1,420.01
M,41.0,11.0,8.0,0,0,21000.0
M,49.0,9.0,6.0,2,1,6053.35
M,76.0,5.0,5.0,0,0,3000.0
F,65.0,11.0,18.0,0,0,2850.0
F,79.0,9.0,16.0,1,1,6000.0
M,78.0,7.0,8.0,0,0,31853.35
F,50.0,9.0,12.0,0,0,1000.0
F,67.0,10.0,3.0,0,0,9000.0
M,67.0,2.0,5.0,0,0,4000.0
M,47.0,9.0,6.0,0,0,3000.0
F,56.0,5.0,26.0,0,0,91.75
M,59.0,6.0,3.0,0,0,6000.0
F,31.0,8.0,2.0,0,0,500.0
M,46.0,6.0,2.0,0,0,620.0
F,42.0,12.0,5.0,1,1,2000.0
F,35.0,8.0,4.0,1,1,420.0
F,60.0,13.0,2.0,0,0,7000.0
M,73.0,4.0,12.0,0,0,500.0
F,62.0,9.0,2.0,1,1,12000.0
M,34.0,3.0,5.0,0,0,2000.0
M,53.0,10.0,9.0,0,0,720.0
M,52.0,10.0,13.0,1,1,6105.32
M,51.0,5.0,9.0,0,0,3900.0
F,55.0,11.0,32.0,0,0,3000.0
M,61.0,8.0,4.0,0,0,10001.7
M,57.0,8.0,8.0,0,0,3000.0
F,35.0,10.0,9.0,0,0,5000.0
M,65.0,3.0,20.0,0,0,510.0
M,65.0,7.0,17.0,0,0,3000.0
M,48.0,5.0,7.0,0,0,50.0
M,60.0,5.0,5.0,0,0,5000.0
F,56.0,5.0,8.0,0,0,3000.0
F,28.0,24.0,2.0,3,1,6000.0
F,78.0,5.0,5.0,0,0,7891.68
M,56.0,6.0,6.0,0,0,1800.0
F,59.0,15.0,2.0,0,0,30000.0
F,76.0,7.0,9.0,0,0,12107.64
M,47.0,8.0,4.0,0,0,10000.0
F,59.0,10.0,4.0,0,0,1000.0
M,64.0,5.0,6.0,0,0,1000.0
F,59.0,8.0,8.0,0,0,500.0
F,60.0,13.0,5.0,0,0,6000.0
M,39.0,9.0,7.0,0,0,2900.0
F,58.0,5.0,2.0,0,0,6000.0
F,52.0,10.0,11.0,0,0,50.0
F,77.0,7.0,12.0,0,0,4884.25
M,66.0,10.0,8.0,0,0,4000.0
F,60.0,5.0,4.0,0,0,1000.0
F,61.0,7.0,11.0,1,1,9500.0
F,35.0,13.0,9.0,1,1,6000.0
M,46.0,10.0,2.0,0,0,600.0
F,64.0,11.0,7.0,0,0,10171.95
F,61.0,5.0,2.0,0,0,6000.0
F,61.0,11.0,6.0,0,0,6000.0
M,71.0,5.0,5.0,0,0,6000.0
F,57.0,8.0,5.0,0,0,6107.64
F,71.0,5.0,8.0,0,0,2400.0
F,60.0,10.0,6.0,0,0,6053.34
F,44.0,6.0,3.0,0,0,2500.0
F,78.0,6.0,4.0,0,0,50000.0
M,58.0,11.0,12.0,0,0,1680.0
F,38.0,11.0,8.0,1,1,9878.0
M,49.0,3.0,5.0,0,0,4400.0
F,67.0,14.0,6.0,0,0,15000.0
M,48.0,12.0,2.0,0,0,6000.0
F,56.0,11.0,5.0,0,0,4000.0
F,75.0,10.0,27.0,0,0,6053.35
F,60.0,13.0,18.0,1,1,1000.0
M,53.0,18.0,8.0,2,1,9500.0
F,58.0,14.0,6.0,1,1,4000.0
F,68.0,10.0,16.0,0,0,6000.0
F,52.0,12.0,7.0,0,0,6105.32
F,53.0,12.0,13.0,0,0,600.0
M,57.0,6.0,8.0,0,0,1200.0
F,44.0,16.0,7.0,1,1,480.0
F,56.0,11.0,4.0,0,0,78292.5
M,49.0,7.0,5.0,0,0,1000.0
F,36.0,13.0,8.0,1,1,6000.0
F,69.0,9.0,12.0,0,0,5000.0
F,68.0,13.0,2.0,0,0,6000.0
M,49.0,11.0,8.0,0,0,2500.01
M,53.0,10.0,5.0,0,0,1500.0
M,57.0,11.0,12.0,0,0,25.0
F,52.0,5.0,3.0,0,0,3000.0
F,35.0,15.0,3.0,2,1,6000.0
F,68.0,10.0,4.0,0,0,10000.0
F,58.0,12.0,7.0,0,0,6107.64
M,48.0,7.0,6.0,0,0,6053.35
F,31.0,11.0,8.0,1,1,50.0
M,75.0,12.0,9.0,0,0,1000.0
F,62.0,5.0,3.0,0,0,3000.0
F,59.0,10.0,9.0,1,1,240.0
M,44.0,11.0,3.0,1,1,3000.0
F,77.0,4.0,24.0,0,0,5000.0
M,59.0,7.0,5.0,0,0,1550.0
F,35.0,10.0,7.0,1,1,900.0
M,58.0,9.0,8.0,0,0,2000.0
F,63.0,10.0,12.0,0,0,3000.0
F,61.0,4.0,10.0,0,0,18330.49
F,69.0,8.0,5.0,0,0,4723.27
F,53.0,12.0,7.0,0,0,3052.66
F,68.0,7.0,17.0,0,0,6000.0
F,70.0,7.0,13.0,0,0,1595.77
F,39.0,7.0,8.0,0,0,50.02
F,65.0,7.0,23.0,0,0,6000.0
F,76.0,10.0,12.0,0,0,3200.0
F,33.0,13.0,2.0,1,1,62.11
M,69.0,9.0,7.0,0,0,2500.0
F,50.0,9.0,5.0,0,0,5000.0
M,76.0,5.0,24.0,0,0,10000.0
F,47.0,5.0,5.0,0,0,6316.06
F,58.0,12.0,15.0,2,1,600.0
F,53.0,10.0,2.0,0,0,11500.0
F,57.0,11.0,2.0,0,0,1046.17
M,64.0,2.0,4.0,1,1,10600.0
F,68.0,9.0,4.0,0,0,18078.34
F,45.0,7.0,5.0,0,0,1000.0
F,74.0,17.0,16.0,1,1,5500.0
F,62.0,5.0,4.0,0,0,1000.0
M,50.0,3.0,6.0,0,0,7553.35
F,61.0,14.0,4.0,0,0,1000.0
M,45.0,6.0,9.0,0,0,1080.0
M,50.0,9.0,11.0,0,0,11850.01
M,58.0,7.0,8.0,0,0,50.01
M,69.0,10.0,4.0,0,0,30000.0
F,70.0,9.0,6.0,0,0,11053.35
F,64.0,6.0,8.0,0,0,12000.0
F,59.0,15.0,9.0,0,0,1800.0
M,54.0,10.0,2.0,0,0,7000.0
F,34.0,14.0,2.0,1,1,500.0
F,55.0,11.0,5.0,0,0,432.01
F,79.0,6.0,9.0,0,0,3000.0
F,67.0,9.0,8.0,0,0,9600.0
F,30.0,10.0,2.0,1,1,50.0
F,51.0,10.0,6.0,0,0,3000.0
M,73.0,13.0,4.0,1,1,7500.0
M,77.0,9.0,13.0,0,0,6000.0
F,52.0,3.0,10.0,0,0,6053.35
M,52.0,8.0,13.0,1,1,2361.26
M,71.0,6.0,8.0,0,0,18053.35
F,66.0,5.0,3.0,0,0,7522.49
M,75.0,6.0,16.0,0,0,2000.0
F,50.0,4.0,3.0,0,0,3000.0
F,77.0,10.0,3.0,0,0,6000.0
F,41.0,5.0,2.0,0,0,500.0
M,54.0,8.0,2.0,0,0,1800.0
F,71.0,4.0,16.0,0,0,40919.71
F,62.0,9.0,8.0,1,1,3000.0
F,40.0,6.0,2.0,0,0,2987.0
F,58.0,7.0,9.0,0,0,3920.0
M,51.0,8.0,11.0,0,0,1000.0
F,66.0,13.0,3.0,0,0,20439.26
F,59.0,14.0,8.0,1,1,610.0
F,67.0,4.0,2.0,0,0,2000.0
F,68.0,11.0,8.0,0,0,2500.0
M,62.0,9.0,4.0,0,0,6053.34
M,49.0,6.0,3.0,0,0,6000.0
M,58.0,14.0,4.0,0,0,5000.0
F,59.0,9.0,9.0,0,0,3000.0
F,40.0,8.0,5.0,1,1,1000.0
M,45.0,9.0,5.0,0,0,2000.0
F,69.0,2.0,9.0,0,0,2400.0
F,77.0,7.0,2.0,0,0,12000.0
F,64.0,11.0,6.0,0,0,970.0
F,70.0,12.0,19.0,0,0,35107.85
F,38.0,6.0,2.0,0,0,6000.0
F,60.0,10.0,2.0,0,0,6000.0
F,66.0,9.0,5.0,0,0,5000.0
M,40.0,8.0,5.0,0,0,2075.0
F,66.0,8.0,4.0,0,0,6053.34
F,45.0,5.0,5.0,0,0,4000.0
M,40.0,14.0,8.0,1,1,18053.34
F,62.0,8.0,4.0,0,0,1000.0
F,59.0,11.0,5.0,0,0,1000.0
F,68.0,5.0,9.0,0,0,8053.34
F,50.0,13.0,9.0,2,1,2000.0
F,45.0,9.0,8.0,0,0,250.0
F,49.0,11.0,6.0,1,1,5044.45
F,56.0,24.0,2.0,2,1,6000.0
F,36.0,10.0,5.0,1,1,600.0
F,63.0,8.0,5.0,0,0,4000.0
M,53.0,7.0,3.0,0,0,17112.8
M,76.0,10.0,18.0,0,0,2000.0
F,42.0,16.0,6.0,1,1,14160.99
F,42.0,12.0,9.0,1,1,600.0
F,46.0,10.0,12.0,0,0,600.0
M,77.0,14.0,3.0,0,0,3000.0
M,66.0,5.0,16.0,0,0,6500.0
F,53.0,7.0,2.0,0,0,3000.0
F,60.0,6.0,8.0,0,0,12000.0
M,74.0,11.0,13.0,0,0,6107.64
F,75.0,10.0,20.0,0,0,9000.0
F,73.0,6.0,5.0,0,0,1000.0
F,60.0,7.0,6.0,0,0,1000.01
F,42.0,8.0,5.0,0,0,3400.0
M,65.0,5.0,30.0,0,0,1000.0
F,70.0,9.0,20.0,0,0,3500.0
M,67.0,3.0,7.0,0,0,3000.0
F,66.0,8.0,8.0,0,0,6000.0
F,63.0,6.0,7.0,0,0,1238.91
F,68.0,8.0,11.0,0,0,469.42
M,58.0,9.0,2.0,0,0,6000.0
F,48.0,5.0,12.0,0,0,6035.46
F,66.0,7.0,14.0,0,0,20000.0
F,75.0,4.0,2.0,0,0,2000.0
F,44.0,9.0,2.0,0,0,35.0
F,30.0,5.0,9.0,0,0,5901.28
F,57.0,10.0,2.0,1,1,10000.0
F,56.0,19.0,3.0,2,1,7500.0
M,61.0,9.0,4.0,1,1,6000.0
F,72.0,8.0,9.0,1,1,600.0
F,57.0,5.0,8.0,0,0,3000.0
F,46.0,8.0,9.0,1,1,9100.0
F,62.0,7.0,27.0,1,1,6017.78
F,39.0,5.0,2.0,0,0,25.0
F,59.0,11.0,21.0,0,0,12000.0
F,67.0,7.0,11.0,1,1,12000.0
M,69.0,8.0,27.0,0,0,4000.0
F,67.0,8.0,7.0,0,0,6000.01
M,67.0,7.0,15.0,0,0,12053.35
F,49.0,5.0,7.0,0,0,12106.7
F,39.0,8.0,4.0,0,0,10000.0
M,42.0,5.0,8.0,0,0,3000.0
F,60.0,8.0,5.0,0,0,6000.0
F,68.0,10.0,4.0,1,1,5000.0
M,62.0,10.0,25.0,0,0,14000.0
M,55.0,11.0,5.0,0,0,5000.0
M,64.0,4.0,5.0,0,0,8000.0
F,73.0,4.0,2.0,0,0,6000.0
F,68.0,7.0,7.0,0,0,6053.35
M,48.0,9.0,8.0,0,0,3000.01
M,55.0,8.0,11.0,0,0,10250.0
M,58.0,12.0,2.0,0,0,12000.0
F,40.0,6.0,8.0,0,0,50.02
F,49.0,11.0,5.0,2,1,6000.0
M,36.0,10.0,9.0,0,0,2000.0
M,63.0,12.0,9.0,1,1,1000.0
F,32.0,10.0,8.0,1,1,25.79
M,60.0,15.0,8.0,0,0,20937.6
M,76.0,11.0,2.0,0,0,6000.0
F,43.0,3.0,11.0,1,1,5700.0
F,69.0,14.0,4.0,1,1,10001.74
F,46.0,10.0,5.0,0,0,5526.35
M,56.0,10.0,5.0,0,0,6000.0
F,50.0,4.0,3.0,1,1,6250.0
F,65.0,6.0,24.0,0,0,1000.0
F,51.0,8.0,5.0,0,0,6000.0
M,59.0,6.0,5.0,0,0,3000.0
F,50.0,6.0,9.0,0,0,800.0
F,57.0,7.0,6.0,0,0,5800.0
F,48.0,6.0,5.0,0,0,2000.0
F,50.0,8.0,5.0,0,0,1000.0
F,54.0,24.0,5.0,2,1,1000.0
F,51.0,9.0,3.0,0,0,1150.0
F,52.0,5.0,9.0,0,0,300.0
F,71.0,3.0,3.0,0,0,17634.66
F,58.0,14.0,3.0,1,1,20268.84
F,59.0,4.0,9.0,0,0,5045.68
F,65.0,8.0,5.0,0,0,4000.0
F,44.0,12.0,7.0,1,1,3000.0
F,70.0,5.0,6.0,0,0,53000.0
M,61.0,12.0,6.0,1,1,12000.0
F,64.0,8.0,6.0,0,0,40000.0
F,56.0,6.0,7.0,0,0,12000.0
F,39.0,14.0,8.0,1,1,5900.0
F,47.0,4.0,10.0,0,0,3000.0
F,52.0,7.0,2.0,0,0,5000.0
M,69.0,4.0,11.0,0,0,12000.0
M,63.0,7.0,5.0,0,0,5000.0
M,74.0,7.0,2.0,0,0,6000.0
F,77.0,7.0,10.0,0,0,400.0
F,60.0,6.0,5.0,0,0,3000.0
F,35.0,6.0,9.0,0,0,2000.01
F,66.0,11.0,8.0,0,0,1000.0
F,76.0,7.0,6.0,0,0,2500.0
F,39.0,9.0,9.0,0,0,3000.0
M,70.0,9.0,7.0,0,0,6053.35
M,47.0,10.0,2.0,0,0,2000.0
F,62.0,6.0,5.0,0,0,5000.0
F,58.0,13.0,8.0,0,0,2000.0
F,78.0,6.0,12.0,0,0,4884.25
F,76.0,6.0,20.0,0,0,500.0
F,65.0,11.0,4.0,1,1,12433.27
F,32.0,8.0,5.0,0,0,39257.79
M,67.0,6.0,8.0,0,0,12158.67
F,62.0,9.0,5.0,1,1,6107.64
M,46.0,6.0,8.0,0,0,9000.0
F,36.0,13.0,7.0,3,1,2000.0
F,51.0,2.0,3.0,0,0,20712.0
F,65.0,13.0,2.0,1,1,4000.0
F,73.0,9.0,7.0,1,1,3000.01
F,46.0,15.0,4.0,0,0,1000.0
F,37.0,9.0,7.0,0,0,2300.0
F,56.0,7.0,12.0,0,0,500.0
F,64.0,7.0,19.0,0,0,4459.17
M,77.0,4.0,9.0,0,0,12000.0
F,44.0,16.0,3.0,1,1,211.0
F,31.0,9.0,5.0,0,0,2000.0
F,69.0,15.0,3.0,1,1,22332.01
M,66.0,12.0,12.0,0,0,1000.0
F,66.0,8.0,12.0,0,0,1500.0
M,59.0,9.0,8.0,0,0,6000.01
M,64.0,6.0,2.0,0,0,12000.0
F,78.0,7.0,12.0,1,1,11900.01
M,53.0,8.0,5.0,0,0,4000.01
F,46.0,7.0,8.0,0,0,12050.0
M,74.0,13.0,19.0,1,1,3000.0
F,65.0,10.0,5.0,1,1,480.0
F,52.0,11.0,6.0,0,0,1615.12
F,37.0,8.0,5.0,1,1,720.01
F,66.0,7.0,2.0,0,0,2000.0
F,66.0,9.0,7.0,0,0,3026.67
F,36.0,9.0,11.0,0,0,23000.0
M,69.0,6.0,23.0,0,0,6000.0
F,40.0,15.0,6.0,1,1,3000.0
F,57.0,6.0,6.0,0,0,6053.35
F,45.0,5.0,6.0,0,0,6053.35
F,49.0,16.0,11.0,0,0,4884.25
F,63.0,9.0,5.0,0,0,3000.0
F,61.0,10.0,7.0,0,0,17026.67
F,79.0,13.0,8.0,1,1,3000.0
M,45.0,5.0,4.0,0,0,1000.0
F,32.0,15.0,4.0,1,1,1000.43
M,71.0,3.0,5.0,0,0,3000.0
M,63.0,9.0,6.0,0,0,3000.0
F,42.0,7.0,8.0,0,0,3100.0
F,46.0,7.0,2.0,0,0,6000.0
F,55.0,8.0,8.0,0,0,6600.0
M,59.0,6.0,11.0,0,0,3050.0
F,29.0,12.0,9.0,1,1,6000.0
M,77.0,6.0,4.0,0,0,12000.0
F,54.0,11.0,9.0,0,0,1000.01
F,59.0,10.0,8.0,0,0,3000.0
F,51.0,8.0,8.0,0,0,3000.0
M,34.0,9.0,12.0,2,1,12210.64
F,37.0,7.0,8.0,0,0,420.0
F,50.0,5.0,8.0,0,0,2100.01
F,51.0,5.0,11.0,0,0,21500.0
F,75.0,5.0,4.0,0,0,10000.0
M,63.0,7.0,2.0,0,0,5000.0
F,70.0,5.0,8.0,0,0,12000.0
F,31.0,7.0,3.0,1,1,50.0
F,50.0,10.0,10.0,0,0,4200.01
F,60.0,9.0,5.0,0,0,5000.0
F,77.0,8.0,5.0,0,0,2500.0
F,34.0,14.0,6.0,0,0,50.0
M,77.0,8.0,5.0,1,1,10000.0
F,70.0,7.0,14.0,0,0,6000.0
F,52.0,10.0,7.0,0,0,12106.7
M,45.0,4.0,4.0,0,0,9519.0
F,75.0,7.0,5.0,0,0,6107.64
F,36.0,10.0,4.0,1,1,6000.0
M,47.0,11.0,7.0,1,1,2000.0
M,60.0,8.0,3.0,0,0,7500.0
F,67.0,17.0,12.0,0,0,8300.0
F,46.0,11.0,13.0,0,0,240.0
M,38.0,12.0,8.0,0,0,16035.57
F,36.0,21.0,5.0,1,1,18000.0
F,57.0,7.0,10.0,0,0,250.0
M,61.0,9.0,8.0,0,0,3000.0
F,50.0,6.0,8.0,0,0,75.01
M,64.0,5.0,5.0,0,0,1000.0
F,32.0,8.0,9.0,1,1,350.0
F,65.0,7.0,8.0,0,0,13850.0
F,66.0,15.0,32.0,0,0,951.91
F,50.0,7.0,6.0,0,0,11000.0
F,75.0,8.0,6.0,0,0,6000.0
M,67.0,9.0,9.0,0,0,500.0
F,50.0,5.0,7.0,0,0,6053.35
F,63.0,14.0,10.0,1,1,100.0
M,63.0,11.0,3.0,0,0,6000.0
F,41.0,5.0,6.0,0,0,2000.0
F,43.0,15.0,5.0,1,1,1000.0
F,77.0,10.0,8.0,0,0,1900.0
F,73.0,13.0,9.0,0,0,700.0
F,55.0,11.0,2.0,1,1,12000.0
M,39.0,9.0,10.0,0,0,6000.0
F,41.0,15.0,8.0,1,1,6105.33
F,38.0,11.0,2.0,1,1,650.01
F,65.0,15.0,4.0,0,0,5000.0
M,65.0,8.0,8.0,0,0,9000.0
M,53.0,19.0,5.0,2,1,1600.0
F,75.0,12.0,9.0,0,0,500.0
M,34.0,10.0,5.0,1,1,3000.01
F,62.0,7.0,11.0,1,1,35884.25
M,67.0,5.0,12.0,0,0,6000.0
M,72.0,9.0,5.0,0,0,6000.0
F,60.0,9.0,14.0,0,0,6000.0
M,61.0,9.0,5.0,0,0,6000.0
F,50.0,20.0,17.0,2,1,4884.25
F,37.0,11.0,7.0,1,1,100.0
F,36.0,6.0,4.0,0,0,1000.0
F,50.0,12.0,6.0,1,1,3000.0
F,72.0,6.0,8.0,0,0,6000.0
F,37.0,6.0,3.0,1,1,7500.0
M,52.0,10.0,4.0,0,0,6053.34
F,30.0,14.0,11.0,2,1,489.91
F,65.0,8.0,5.0,0,0,6000.0
F,74.0,7.0,4.0,0,0,20000.0
M,35.0,7.0,4.0,0,0,12053.34
F,35.0,9.0,12.0,0,0,6000.0
F,64.0,18.0,9.0,0,0,1000.0
F,59.0,12.0,6.0,1,1,12107.64
F,30.0,17.0,7.0,1,1,4000.0
F,58.0,6.0,19.0,0,0,3000.0
F,55.0,11.0,7.0,0,0,4000.0
F,50.0,7.0,2.0,0,0,10000.0
F,71.0,12.0,18.0,0,0,3000.0
M,51.0,12.0,2.0,0,0,9000.0
F,45.0,7.0,8.0,0,0,3000.0
M,48.0,9.0,9.0,0,0,12000.0
F,56.0,8.0,2.0,0,0,5000.0
M,45.0,17.0,4.0,0,0,12000.0
M,59.0,10.0,3.0,0,0,20538.99
M,65.0,5.0,12.0,0,0,50000.0
F,50.0,14.0,2.0,0,0,6000.0
F,64.0,7.0,4.0,0,0,5000.0
F,64.0,7.0,17.0,1,1,12605.32
F,51.0,7.0,3.0,0,0,20249.84
F,28.0,10.0,6.0,1,1,1590.0
M,63.0,10.0,8.0,1,1,10833.16
F,59.0,11.0,7.0,1,1,2500.0
F,49.0,10.0,4.0,1,1,2600.0
F,74.0,6.0,2.0,0,0,6000.0
M,71.0,7.0,3.0,0,0,6000.0
M,63.0,10.0,16.0,0,0,25000.0
M,71.0,12.0,8.0,0,0,17094.9
F,37.0,10.0,5.0,1,1,2000.0
F,71.0,7.0,8.0,0,0,1000.0
M,68.0,8.0,6.0,0,0,8594.76
M,48.0,8.0,4.0,0,0,2000.0
F,63.0,8.0,2.0,1,1,2500.0
F,37.0,8.0,8.0,0,0,12088.11
F,61.0,14.0,5.0,0,0,5000.0
F,44.0,2.0,9.0,0,0,4600.0
M,69.0,8.0,8.0,0,0,12684.25
F,62.0,7.0,8.0,0,0,5500.0
F,35.0,7.0,6.0,1,1,6107.64
M,55.0,10.0,9.0,0,0,2100.0
M,64.0,8.0,4.0,0,0,10000.0
M,52.0,17.0,8.0,0,0,600.0
F,76.0,8.0,6.0,0,0,12053.34
F,42.0,9.0,12.0,0,0,12000.0
F,61.0,12.0,9.0,0,0,6000.01
F,79.0,8.0,12.0,0,0,15000.0
M,38.0,7.0,4.0,0,0,10000.0
F,37.0,16.0,6.0,1,1,12000.0
F,56.0,8.0,2.0,0,0,6000.0
F,34.0,6.0,13.0,1,1,100.0
F,72.0,8.0,5.0,0,0,6000.0
F,72.0,4.0,2.0,0,0,6000.0
F,61.0,6.0,12.0,0,0,6000.0
F,62.0,2.0,6.0,0,0,6000.0
F,54.0,7.0,8.0,0,0,3000.01
F,53.0,8.0,7.0,0,0,45000.0
M,47.0,15.0,15.0,0,0,10000.0
M,59.0,13.0,11.0,0,0,7900.0
F,61.0,6.0,10.0,0,0,6000.0
F,60.0,8.0,5.0,0,0,3000.0
F,67.0,10.0,4.0,0,0,6053.34
F,68.0,8.0,10.0,0,0,17996.5
F,37.0,17.0,9.0,3,1,6105.32
F,42.0,10.0,2.0,1,1,500.0
F,74.0,10.0,4.0,1,1,5000.0
F,76.0,11.0,32.0,0,0,1500.0
M,62.0,6.0,5.0,0,0,1000.0
F,48.0,10.0,2.0,0,0,6000.0
F,70.0,4.0,6.0,0,0,6000.0
F,60.0,12.0,2.0,1,1,3000.0
F,47.0,7.0,4.0,0,0,6053.34
F,44.0,5.0,5.0,1,1,480.0
F,65.0,6.0,8.0,0,0,3000.0
F,59.0,7.0,2.0,0,0,6000.0
F,56.0,13.0,9.0,0,0,1500.0
F,68.0,6.0,6.0,0,0,6053.35
M,33.0,25.0,11.0,3,1,2650.0
M,60.0,5.0,9.0,1,1,6178.5
F,68.0,14.0,8.0,1,1,4884.25
F,56.0,6.0,4.0,0,0,11000.0
F,40.0,5.0,5.0,0,0,13911.0
F,55.0,11.0,9.0,0,0,300.0
M,72.0,3.0,7.0,0,0,6053.35
F,75.0,4.0,4.0,0,0,18053.35
M,77.0,10.0,2.0,0,0,1000.0
F,35.0,14.0,5.0,1,1,420.0
M,66.0,7.0,5.0,0,0,4500.0
M,56.0,8.0,5.0,0,0,1000.0
M,36.0,11.0,7.0,1,1,600.0
F,66.0,7.0,4.0,0,0,2700.0
F,60.0,11.0,4.0,0,0,3430.0
F,47.0,11.0,5.0,0,0,6000.0
F,69.0,11.0,2.0,1,1,2500.0
F,61.0,6.0,9.0,0,0,300.01
M,61.0,6.0,2.0,0,0,5000.0
F,36.0,6.0,10.0,0,0,3000.0
F,61.0,11.0,8.0,0,0,3000.0
F,40.0,19.0,3.0,1,1,5000.0
M,49.0,6.0,4.0,0,0,2000.0
M,59.0,5.0,8.0,0,0,3000.0
F,55.0,3.0,7.0,0,0,3290.4
F,59.0,7.0,5.0,0,0,11000.0
F,72.0,6.0,5.0,0,0,6053.35
F,72.0,4.0,9.0,0,0,300.0
F,62.0,9.0,9.0,1,1,3300.0
F,71.0,8.0,8.0,0,0,20000.0
F,59.0,8.0,3.0,0,0,20290.99
F,76.0,5.0,5.0,1,1,3000.0
F,59.0,7.0,4.0,0,0,6000.0
F,42.0,15.0,4.0,2,1,420.0
M,63.0,9.0,9.0,0,0,15075.0
F,61.0,13.0,5.0,0,0,9600.0
F,58.0,7.0,4.0,0,0,6000.0
F,68.0,9.0,8.0,0,0,3000.01
F,74.0,7.0,30.0,0,0,2500.0
F,48.0,9.0,4.0,1,1,12053.34
F,69.0,4.0,9.0,0,0,18140.78
M,58.0,8.0,6.0,0,0,6000.0
F,48.0,7.0,6.0,0,0,3300.0
F,47.0,7.0,8.0,0,0,2000.0
F,38.0,13.0,11.0,1,1,300.0
M,49.0,8.0,6.0,1,1,6000.0
F,62.0,8.0,8.0,0,0,3000.0
M,42.0,6.0,9.0,0,0,500.0
M,42.0,10.0,4.0,0,0,600.0
M,74.0,8.0,4.0,0,0,14500.0
F,36.0,6.0,7.0,0,0,650.0
F,61.0,6.0,4.0,0,0,5044.45
F,79.0,10.0,12.0,0,0,41000.0
F,65.0,10.0,2.0,0,0,6000.0
F,56.0,9.0,4.0,0,0,12000.0
